Date,return_max
2008-01,-0.07006241900020893
2008-02,-0.08320284866134986
2008-03,-0.045938132836887746
2008-04,-0.07439214721161291
2008-05,-0.06565015381165817
2008-06,-0.06474834203980184
2008-07,0.06339324855384443
2008-08,0.06789677656535309
2008-09,-0.05133857609990389
2008-10,0.17522423029619327
2008-11,0.07419248751744068
2008-12,0.029572851085323704
2009-01,0.24002314340470776
2009-02,0.35848865629284354
2009-03,0.3019801378437845
2009-04,0.2249753894184352
2009-05,0.41185190447070696
2009-06,0.3651543060281477
2009-07,0.12349873798593203
2009-08,0.11718395342309407
2009-09,0.18698450052673832
2009-10,0.11150764385295875
2009-11,0.02488337639421001
2009-12,0.020938679621615996
2010-01,0.026211517509394433
2010-02,0.035544542515185906
2010-03,0.015386026070733694
2010-04,0.06984948759505705
2010-05,0.24252608393772945
2010-06,0.010820942882064255
2010-07,-0.022739396917906385
2010-08,-0.03210446518233179
2010-09,0.020993571954968315
2010-10,-0.03377137501597971
2010-11,0.045047438849450394
2010-12,0.017167982224041367
2011-01,-0.0759169824436432
2011-02,0.0024459050087970446
2011-03,-0.013433022239463632
2011-04,-0.011040369849400822
2011-05,-0.02701027543039436
2011-06,-0.001791692420459401
2011-07,0.020157269334322825
2011-08,0.14609350898159068
2011-09,-0.0029685544924594742
2011-10,-0.0440985774422068
2011-11,-0.07776020883334422
2011-12,-0.03682619611376603
2012-01,-0.07671240048439898
2012-02,-0.031049939370647373
2012-03,-0.02594186128878828
2012-04,0.028829840657750072
2012-05,-0.029362215359156063
2012-06,-0.03940823182294806
2012-07,-0.010014839171857304
2012-08,-0.031232258866858764
2012-09,-0.05043015069314116
2012-10,-0.08750080729564913
2012-11,-0.0050147451738498106
2012-12,-0.03968973082839977
2013-01,-0.05572204760068433
2013-02,-0.049124286078346846
2013-03,-0.06229567202806385
2013-04,-0.015742835586146975
2013-05,-0.022873713005178264
2013-06,-0.05056612572713148
2013-07,-0.05222583638384637
2013-08,-0.03467845483506726
2013-09,-0.00809672120477889
2013-10,0.0041078229858828585
2013-11,-0.03333087404446944
2013-12,-0.017679747514080857
2014-01,-0.019245239157295813
2014-02,-0.0392159436353563
2014-03,-0.07689904193526387
2014-04,-0.00409324116605525
2014-05,-0.02999802086625214
2014-06,-0.05918250469347763
2014-07,-0.04465061165767237
2014-08,-0.029323744181527167
2014-09,-0.024811189835363345
2014-10,0.008641038059547412
2014-11,-0.039241337819295175
2014-12,-0.07633172452903725
2015-01,-0.05347520342271617
2015-02,-0.08035355326145754
2015-03,-0.07078983855342236
2015-04,-0.057142887371185114
2015-05,-0.04878323805351292
2015-06,-0.061962895102702364
2015-07,-0.0023641093768551613
2015-08,0.0010264091116445329
2015-09,-0.01874349612713777
2015-10,-0.05130288659985249
2015-11,-0.06174006971160151
2015-12,-0.018354285626692834
2016-01,-0.04557302204303848
2016-02,-0.05354869842493127
2016-03,-0.06875757067673316
2016-04,-0.07874559232540101
2016-05,-0.0437519134042863
2016-06,-0.05101534952067177
2016-07,-0.04685785731038894
2016-08,-0.058140125464872905
2016-09,-0.010056780848186175
2016-10,-0.052650844277787434
2016-11,0.002045624327373652
2016-12,-0.016960291553922313
2017-01,-0.0090439251904878
2017-02,-0.02172034599923689
2017-03,-0.044320227734891186
2017-04,-0.047344429695882595
2017-05,-0.029050500726413686
2017-06,0.017596594173363345
2017-07,-0.03858367658225248
2017-08,-0.01229736735792708
2017-09,0.03582560565097559
2017-10,0.01308696853630531
2017-11,0.02073532281368995
2017-12,-0.009448853370875643
2018-01,0.0528086922216735
2018-02,0.012365227268567924
2018-03,0.006417530854664122
2018-04,-0.011187354273123562
2018-05,-0.010942778819483356
2018-06,0.03038225273062478
2018-07,0.012378854252224736
2018-08,-0.012604926894112412
2018-09,0.02441679183805845
2018-10,0.03166542208696055
2018-11,0.052546240089382135
2018-12,0.025790956171097612
2019-01,0.08413574661839851
2019-02,0.02206270371048591
2019-03,0.0007218375680519973
2019-04,-0.023500236002209185
2019-05,0.021550783710055033
2019-06,-0.003445124753269413
2019-07,-0.01561185102791951
2019-08,0.02307082757506196
2020-02,0.12702012785190564
2020-03,-0.005976200983993207
2020-04,-0.11974038082647165
2020-05,-0.029443896265495595
2020-06,0.048740574428168815
2020-07,0.001261637578593433
2020-08,0.025573415773075814
2020-09,-0.020759831478750934
2020-10,0.0024473995093663437
2020-11,0.05016018385652132
2020-12,-0.062134532253839914
2021-01,-0.02121627209114374
2021-02,-0.09261081050577524
2021-03,-0.03317692690803464
2021-04,-0.03505049025930218
2021-05,0.012871698919437069
2021-06,-0.04111952506163696
2021-07,0.002910453697550608
2021-08,0.010953549546599772
2021-09,-0.012182807443642862
2021-10,-0.02594310855125792
2021-11,-0.09538469544531068
2021-12,-0.045936655677551896
2022-01,-0.011453924904549329
2022-02,0.03338276777059446
2022-03,0.06728004799992005
2022-04,0.031047937727543884
2022-05,0.04235853865737638
2022-06,-0.016068630585827748
2022-07,-0.023265490674362344
2022-08,-0.00977947944236568
